Alpha,M_Size,N_Keys,NMS_SL,Time_SL_us,NMS_SQ,Time_SQ_us,NMS_SQO,Time_SQO_us
0.5000,1430372,715186,1.0139,49898,1.0139,45064,1.0140,54504
0.7000,1021694,715186,1.0173,44563,1.0173,47913,1.0173,54626
0.8000,893982,715186,1.0205,48031,1.0204,43744,1.0207,60016
0.9000,794651,715186,1.0227,51676,1.0227,48207,1.0232,54470
0.9500,752827,715186,1.0264,48281,1.0264,47733,1.0267,54328
0.9900,722410,715186,1.0282,46257,1.0282,49791,1.0285,55902
