Alpha,M_Size,N_Keys,NMS_SL,Time_SL_us,NMS_SQ,Time_SQ_us,NMS_SQO,Time_SQO_us
0.50,1430381,715186,1.0000,44827,1.0000,35106,1.0000,44347
0.70,1021697,715186,1.0000,35223,1.0000,34691,1.0000,45180
0.80,893989,715186,1.0000,31672,1.0000,40868,1.0000,41337
0.90,794653,715186,1.0000,31779,1.0000,38243,1.0000,41033
0.95,752831,715186,1.0000,30025,1.0000,40910,1.0000,44048
0.99,722411,715186,1.0000,30261,1.0000,37763,1.0000,42294
