Alpha,M_Size,N_Keys,NMS_SL,Time_SL_us,NMS_SQ,Time_SQ_us,NMS_SQO,Time_SQO_us
0.5000,1430372,715186,1.0139,48244,1.0139,45265,1.0140,72564
0.7000,1021694,715186,1.0173,55126,1.0173,49942,1.0173,56133
0.8000,893982,715186,1.0205,55151,1.0204,50574,1.0207,57249
0.9000,794651,715186,1.0227,55248,1.0227,52409,1.0232,55414
0.9500,752827,715186,1.0264,54869,1.0264,50004,1.0267,60038
0.9900,722410,715186,1.0282,50132,1.0282,55034,1.0285,62433
